Actor_ID,Actor_name
A000247,Charlie Hunnam
A000248,Charlie Yeung
A000249,Charlize Theron
A000250,Charlotte Rampling
A000251,Charlotte Ray Rosenberg
A000252,Chauntae Davies
A000253,Chazz Palminteri
A000254,Chen Chang
A000255,Chi McBride
A000256,Chiaki Kuriyama
A000257,Chie Nakamura
A000258,Chiwetel Ejiofor
A000259,Chris Bauer
A000260,Chris Carmack
A000261,Chris Evans
A000262,Chris Klein
A000263,Chris Morris
A000264,Chris Noth
A000265,Chris Rock
A000266,Christa Théret
A000267,Christian Bale
A000268,Christian Meier
A000269,Christian Slater
A000270,Christian von Aster
A000271,Christina Milian
A000272,Christina Souza
A000273,Christopher Bello
A000274,Christopher Denham
A000275,Christopher Guest
A000276,Christopher Plummer
A000277,Christopher Walken
A000278,Ciarán Hinds
A000279,Cicely Tyson
A000280,Cillian Murphy
A000281,Cindy Pickett
A000282,Claire Danes
A000283,Claire Forlani
A000284,Clara Bellar
A000285,Clazziquai
A000286,Cliff Curtis
A000287,Clifton Collins Jr.
A000288,Clifton Powell
A000289,Clive Brunt
A000290,Clive Owen
A000291,Clovis Cornillac
A000292,Cole Hauser
A000293,Colin Farrell
A000294,Colin Firth
A000295,Colm Feore
A000296,Concha Galán
A000297,Conor Donovan
A000298,Corbin Bernsen
A000299,Craig Archibald
A000300,Craig Bierko
A000301,Craig Chester
A000302,Craig Fairbrass
A000303,Crispin Letts
A000304,Cuba Gooding Jr.
A000305,Cyndi Williams
A000306,Cynthia Nixon
A000307,Cécile de France
A000308,D.J. Cotrona
A000309,Da-an Park
A000310,Daisy Ang
A000311,Dakota Fanning
A000312,Damon Dash
A000313,Dan Byrd
A000314,Daniel Auteuil
A000315,Daniel Craig
A000316,Daniel Day-Lewis
A000317,Daniel Duval
A000318,Daniel Franzese
A000319,Daniel Letterle
A000320,Daniel Manche
A000321,Daniel Radcliffe
A000322,Danielle Panabaker
A000323,Danielle Proulx
A000324,Danny Alexander
A000325,Danny Burstein
A000326,Danny Dyer
A000327,Danny Glover
A000328,Danny Huston
A000329,Danny McCarthy
A000330,Danny Pino
A000331,Danso Gordon
A000332,Darrell Larson
A000333,Darren E. Burrows
A000334,Dave Matthews
A000335,David Bornstein
A000336,David Calderisi
A000337,David Christian
A000338,David Dorfman
A000339,David Duchovny
A000340,David Hayman
A000341,David Kelly
A000342,David Koechner
A000343,David Kuhn
A000344,David Leon
A000345,David M. Ames
A000346,David Monahan
A000347,David Morrissey
A000348,David Morse
A000349,David Moscow
A000350,David Oyelowo
A000351,David Schwimmer
A000352,David Strathairn
A000353,David Sutcliffe
A000354,David Tennant
A000355,David Wagner
A000356,Dax Shepard
A000357,DeRay Davis
A000358,Dean Barrett
A000359,Debbie Doebereiner
A000360,Deborah Kara Unger
A000361,Debra Messing
A000362,Deirdre O'Connell
A000363,Delroy Lindo
A000364,Denise Crosby
A000365,Dennis Hopper
A000366,Dennis Martin
A000367,Dennis Quaid
A000368,Deobia Oparei
A000369,Derek Alvarado
A000370,Derek Richardson
A000371,Dermot Mulroney
A000372,Devon Aoki
A000373,Devon Gummersall
A000374,Dia Mirza
A000375,Diana Rigg
A000376,Diane Keaton
A000377,Diane Kruger
A000378,Diane Lane
A000379,Dick Cavett
A000380,Didier Flamand
A000381,Diego Serrano
A000382,Dina Korzun
A000383,Dina Spybey-Waters
A000384,Djimon Hounsou
A000385,Dolores Fonzi
A000386,Dominic Scott Kay
A000387,Dominique Horwitz
A000388,Don Knotts
A000389,Donal Logue
A000390,Donald Sutherland
A000391,Donald Williams
A000392,Dong-Gun Jang
A000393,Donnie Wahlberg
A000394,Donnie Yen
A000395,Dorian Boguta
A000396,Doru Ana
A000397,Douglas Smith
A000398,Dougray Scott
A000399,Drew Barrymore
A000400,Duane Whitaker
A000401,Dustin James Ashley
A000402,Dwight Yoakam
A000403,Dyan Cannon
A000404,Dylan McDermott
A000405,Déborah François
A000406,E. Matthew Buckley
A000407,Ed Harris
A000408,Edda Díaz
A000409,Eddie Cibrian
A000410,Eddie George
A000411,Eddie Griffin
A000412,Eddie Kaye Thomas
A000413,Edgar Ramírez
A000414,Edie Falco
A000415,Edison Chen
A000416,Edith Scob
A000417,Edward Furlong
A000418,Edward Norton
A000419,Elaine Kao
A000420,Elden Henson
A000421,Elena Anaya
A000422,Elijah Wood
A000423,Elisabeth Shue
A000424,Elisha Cuthbert
A000425,Elizabeth Banks
A000426,Elizabeth Perkins
A000427,Elizabeth Reaser
A000428,Elle Peterson
A000429,Ellen Baker
A000430,Ellen Page
A000431,Elpidia Carrillo
A000432,Embeth Davidtz
A000433,Emile Hirsch
A000434,Emilie de Ravin
A000435,Emily Deschanel
A000436,Emily Watson
A000437,Emma Bolger
A000438,Emma Catherwood
A000439,Emma Thompson
A000440,Emmanuelle Chriqui
A000441,Emmanuelle Devos
A000442,Enrique Murciano
A000443,Eric Balfour
A000444,Eric Bana
A000445,Eric Gores
A000446,Eric Haberman
A000447,Eric Stuart
A000448,Eric Sykes
A000449,Erica Yates
A000450,Erik Knudsen
A000451,Erika Christensen
A000452,Erika Sawajiri
A000453,Eriq Ebouaney
A000454,Essie Davis
A000455,Ethan Hawke
A000456,Eugene Hutz
A000457,Eugene Levy
A000458,Eva Birthistle
A000459,Eva Longoria
A000460,Eva Mendes
A000461,Eva Pont
A000462,Evan Rachel Wood
A000463,Ewan McGregor
A000464,Eythor Gudjonsson
A000465,Fabian Hinrichs
A000466,Fabrizio Rongione
A000467,Faith Ford
A000468,Famke Janssen
A000469,Fang Mei
A000470,Felicity Huffman
A000471,Fernanda Montenegro
A000472,Fernanda Torres
A000473,Fisher Stevens
A000474,Flora Cross
A000475,Flora Martínez
A000476,Forest Whitaker
A000477,Frances Bay
A000478,Frances McDormand
A000479,Francisco Pedrasa
A000480,Frank Alvarez
A000481,Frank C. Turner
A000482,Franklin Chang-Diaz
A000483,Franklin Dominguez
A000484,Fred Ulysse
A000485,Freda Foh Shen
A000486,Freddie Highmore
A000487,Freddy Rodríguez
A000488,Gaamon Kai
A000489,Gabby Millgate
A000490,Gabriel Byrne
A000491,Gabriel Mann
A000492,Gabrielle Union
A000493,Gaby Espino
A000494,Gael García Bernal
A000495,Garrett Hedlund
A000496,Garry Marshall
A000497,Gary Bullock
A000498,Gary Cole
A000499,Gary Oldman
A000500,Gavin Rossdale
A000501,Gemma Jones
A000502,Gemmenne de la Peña
A000503,Gena Rowlands
A000504,Genevieve Buechner
A000505,Geoff Bell
A000506,Geordy Monfils
